S089_003_00000036.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.Rank1,Answer.Rank2,Answer.Rank3,Answer.sentiment,Approve,Reject
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,34Q075JO1YJMJ91X4XYRZZPT9Y210P,A2FY943XQ73SFP,Submitted,Wed Jul 26 20:56:39 PDT 2017,Wed Jul 26 20:56:46 PDT 2017,Wed Aug 02 20:56:46 PDT 2017,,,,7,100% (50/50),100% (50/50),100% (50/50),S089_003_00000036.jpg,Anger,None,None,Confident,,
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,39L1G8WVWRXI010UNKGA1XN0CAP13N,A1EGJBJBFBZJBA,Submitted,Wed Jul 26 20:59:46 PDT 2017,Wed Jul 26 21:00:37 PDT 2017,Wed Aug 02 21:00:37 PDT 2017,,,,51,0% (0/0),0% (0/0),0% (0/0),S089_003_00000036.jpg,Anger,Disgust,None,Very Confident,,
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,3IX2EGZR7CPHEK10OZNCNVM2C5PRJ5,AKJ6IXN6XE7OQ,Submitted,Wed Jul 26 20:44:25 PDT 2017,Wed Jul 26 20:45:35 PDT 2017,Wed Aug 02 20:45:35 PDT 2017,,,,70,0% (0/0),0% (0/0),0% (0/0),S089_003_00000036.jpg,Sadness,None,None,Confident,,
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,3LJ7UR74RIJ6W4QNSLJR89S9TBQN42,A16TPV9T2VG2CJ,Submitted,Wed Jul 26 21:02:40 PDT 2017,Wed Jul 26 21:02:50 PDT 2017,Wed Aug 02 21:02:50 PDT 2017,,,,10,0% (0/0),0% (0/0),0% (0/0),S089_003_00000036.jpg,Sadness,Fear,None,Very Confident,,
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,3N4BPTXIO9Y45WZZAEITTL9ZYT3UKL,AXJND2BH6C55U,Submitted,Wed Jul 26 20:55:15 PDT 2017,Wed Jul 26 20:55:25 PDT 2017,Wed Aug 02 20:55:25 PDT 2017,,,,10,0% (0/0),0% (0/0),0% (0/0),S089_003_00000036.jpg,Anger,Surprise,Fear,Confident,,
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,3PM8NZGV8ZMIX3RPSODD9EKCRHHXQD,A1RO22O88I71FD,Submitted,Wed Jul 26 21:03:52 PDT 2017,Wed Jul 26 21:04:08 PDT 2017,Wed Aug 02 21:04:08 PDT 2017,,,,16,0% (0/0),0% (0/0),0% (0/0),S089_003_00000036.jpg,Disgust,Sadness,Happiness,Confident,,
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,3QECW5O0KI7MN0Z73MODM04FIP75TQ,A1YGSIQI52QT9L,Submitted,Wed Jul 26 21:03:15 PDT 2017,Wed Jul 26 21:03:33 PDT 2017,Wed Aug 02 21:03:33 PDT 2017,,,,18,100% (43/43),100% (43/43),100% (43/43),S089_003_00000036.jpg,Anger,Surprise,None,Confident,,
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,3QHK8ZVMINO0T38BVNDZ3VUQY8OBLB,A3NIY31X56M0JD,Submitted,Wed Jul 26 20:40:55 PDT 2017,Wed Jul 26 20:41:14 PDT 2017,Wed Aug 02 20:41:14 PDT 2017,,,,19,0% (0/0),0% (0/0),0% (0/0),S089_003_00000036.jpg,Sadness,Disgust,Fear,Unsure,,
3KG2UQJ0MJUBYPFRZGL3MSYUKM9QNC,36U2DYYLU9SW517SVNHGHMQFGTCEDR,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.02,Wed Jul 26 20:36:04 PDT 2017,9,BatchId:2886516;OriginalHitTemplateId:862366346;,120,604800,Sat Aug 05 20:36:04 PDT 2017,,,3Z7EFSHGNAKE32H6N6CIP9VVN2UXCM,AYMA9R47TWK1H,Submitted,Wed Jul 26 20:37:16 PDT 2017,Wed Jul 26 20:37:45 PDT 2017,Wed Aug 02 20:37:45 PDT 2017,,,,29,0% (0/0),0% (0/0),0% (0/0),S089_003_00000036.jpg,Disgust,Anger,Fear,Very Confident,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
